Location,Other Location Details,Full Location Details,Size,Bedrooms,Bathrooms,Property Type,Purchase Type,Price,Site
Lavington Nairobi,Lavington Nairobi,"Lavington Nairobi,Lavington Nairobi",None,4,5,Apartment,Sale,"KSh 20,000,000",propertypro
Lavington Nairobi,Lavington Nairobi,"Lavington Nairobi,Lavington Nairobi",None,3,4,Apartment,Sale,"KSh 11,000,000",propertypro
Lavington Nairobi,Lavington Nairobi,"Lavington Nairobi,Lavington Nairobi",None,3,4,Apartment,Sale,"KSh 11,000,000",propertypro
Lavington Nairobi,Lavington Nairobi,"Lavington Nairobi,Lavington Nairobi",None,3,4,Apartment,Sale,"KSh 12,000,000",propertypro
Lavington Nairobi,Lavington Nairobi,"Lavington Nairobi,Lavington Nairobi",None,2,3,Apartment,Sale,"KSh 7,000,000",propertypro
Lavington Nairobi,Lavington Nairobi,"Lavington Nairobi,Lavington Nairobi",None,2,3,Apartment,Sale,"KSh 7,000,000",propertypro
Lavington Nairobi,Lavington Nairobi,"Lavington Nairobi,Lavington Nairobi",None,1,1,Apartment,Sale,"KSh 5,500,000",propertypro
Lavington Nairobi,Lavington Nairobi,"Lavington Nairobi,Lavington Nairobi",None,1,1,Apartment,Sale,"KSh 5,500,000",propertypro
Riverside Nairobi,Riverside Nairobi,"Riverside Nairobi,Riverside Nairobi",None,3,3,Apartment,Sale,"KSh 29,000,000",propertypro
Kileleshwa Nairobi,Kileleshwa Nairobi,"Kileleshwa Nairobi,Kileleshwa Nairobi",None,4,5,Apartment,Sale,"KSh 20,000,000",propertypro
Kileleshwa Nairobi,Kileleshwa Nairobi,"Kileleshwa Nairobi,Kileleshwa Nairobi",None,4,5,Apartment,Sale,"KSh 20,000,000",propertypro
Kileleshwa Nairobi,Kileleshwa Nairobi,"Kileleshwa Nairobi,Kileleshwa Nairobi",None,0,0,Other,Sale,"KSh 140,000,000",propertypro
Kileleshwa Nairobi,Kileleshwa Nairobi,"Kileleshwa Nairobi,Kileleshwa Nairobi",None,3,4,Apartment,Sale,"KSh 11,000,000",propertypro
Kileleshwa Nairobi,Kileleshwa Nairobi,"Kileleshwa Nairobi,Kileleshwa Nairobi",None,3,4,Apartment,Sale,"KSh 12,500,000",propertypro
Karen Nairobi,Karen Nairobi,"Karen Nairobi,Karen Nairobi",None,4,4,House,Sale,"KSh 85,000,000",propertypro
Kileleshwa Nairobi,Kileleshwa Nairobi,"Kileleshwa Nairobi,Kileleshwa Nairobi",None,2,3,Apartment,Sale,"KSh 7,000,000",propertypro
Kileleshwa Nairobi,Kileleshwa Nairobi,"Kileleshwa Nairobi,Kileleshwa Nairobi",None,2,3,Apartment,Sale,"KSh 9,500,000",propertypro
Kileleshwa Nairobi,Kileleshwa Nairobi,"Kileleshwa Nairobi,Kileleshwa Nairobi",None,1,1,Apartment,Sale,"KSh 5,000,000",propertypro
Kileleshwa Nairobi,Kileleshwa Nairobi,"Kileleshwa Nairobi,Kileleshwa Nairobi",None,1,1,Apartment,Sale,"KSh 5,500,000",propertypro
Kilimani Nairobi,Kilimani Nairobi,"Kilimani Nairobi,Kilimani Nairobi",None,3,4,Apartment,Sale,"KSh 11,000,000",propertypro
Kilimani Nairobi,Kilimani Nairobi,"Kilimani Nairobi,Kilimani Nairobi",None,3,4,Apartment,Sale,"KSh 12,000,000",propertypro
Westlands Nairobi,Westlands Nairobi,"Westlands Nairobi,Westlands Nairobi",None,3,3,Apartment,Sale,"KSh 20,000,000",propertypro
Lavington Nairobi,Lavington Nairobi,"Lavington Nairobi,Lavington Nairobi",None,6,5,House,Sale,"KSh 70,000,000",propertypro
Lavington Nairobi,Lavington Nairobi,"Lavington Nairobi,Lavington Nairobi",None,4,4,House,Sale,"KSh 67,000,000",propertypro
Kileleshwa Nairobi,Kileleshwa Nairobi,"Kileleshwa Nairobi,Kileleshwa Nairobi",None,1,1,Apartment,Sale,"KSh 5,500,000",propertypro
Kileleshwa Nairobi,Kileleshwa Nairobi,"Kileleshwa Nairobi,Kileleshwa Nairobi",None,4,4,Apartment,Sale,"KSh 22,000,000",propertypro
Imara Daima Nairobi,Imara Daima Nairobi,"Imara Daima Nairobi,Imara Daima Nairobi",None,0,0,Other,Sale,"KSh 22,000,000",propertypro
Kileleshwa Nairobi,Kileleshwa Nairobi,"Kileleshwa Nairobi,Kileleshwa Nairobi",None,3,4,Apartment,Sale,"KSh 28,600,000",propertypro
