Location,Other Location Details,Size,Bedrooms,Bathrooms,Price,Property Type,Purchase Type
Karen,Karen,None,5,6,"KSh 550,000
 / month",House,Rent
Lavington,Lavington,None,5,4,"KSh 250,000
 / month",House,Rent
Kiambu Road,Kiambu Road,None,4,4,"KSh 260,000
 / month",House,Rent
Lavington,Lavington,None,5,4,"KSh 250,000
 / month",House,Rent
Karen,Karen,400 m²,4,5,"KSh 380,000
 / month",House,Rent
Lavington,Lavington,None,4,4,"KSh 250,000
 / month",House,Rent
Runda,Westlands,400 m²,5,5,"KSh 350,000
 / month",House,Rent
Kilimani,Kilimani,None,4,4,"KSh 250,000
 / month",House,Rent
Lavington shopping centre,Lavington,None,5,6,"KSh 400,000
 / month",House,Rent
Lavington,Lavington,None,4,4,"KSh 250,000
 / month",House,Rent
Loresho,Westlands,None,4,4,"KSh 350,000
 / month",House,Rent
Nyari,Westlands,None,5,5,"KSh 600,000
 / month",House,Rent
Lavington shopping centre,Lavington,None,5,6,"KSh 400,000
 / month",House,Rent
Ridgeways road,Ridgeways,400 m²,5,4,"KSh 400,000
 / month",House,Rent
2,"Off Ruaka Rd, Runda, Westlands",None,5,6,"KSh 400,000
 / month",House,Rent
Athi River,Athi River,None,3,,"KSh 17,000
 / month",House,Rent
Utange Mombasa,Bamburi,None,4,4,"KSh 65,000
 / month",House,Rent
Utange Mombasa,Bamburi,200 ft²,3,2,"KSh 35,000
 / month",House,Rent
Kilimani,Kilimani,300 m²,4,4,"KSh 230,000
 / month",House,Rent
Nyari,Westlands,None,5,5,"KSh 700,000
 / month",House,Rent
Nyari,Westlands,None,5,5,"KSh 600,000
 / month",House,Rent
Kikuyu Town,Kikuyu,None,5,,"KSh 80,000
 / month",House,Rent
Kikuyu Town,Kikuyu,None,4,5,"KSh 80,000
 / month",House,Rent
Rosslyn,Westlands,None,5,,"KSh 494,000
 / month",House,Rent
Windsor,Roysambu,None,4,4,"KSh 490,000
 / month",House,Rent
Eastern ByPass,Ruiru,None,4,4,"KSh 150,000
 / month",House,Rent
Kiambu Road,Kiambu Road,None,4,3,"KSh 168,000
 / month",House,Rent
Runda,Westlands,None,5,5,"KSh 220,000
 / month",House,Rent
Runda,Westlands,None,5,5,"KSh 300,000
 / month",House,Rent
Gigiri,Westlands,None,4,4,"KSh 340,000
 / month",House,Rent
Loresho,Westlands,None,4,4,"KSh 350,000
 / month",House,Rent
Nyari,Westlands,None,5,5,"KSh 300,000
 / month",House,Rent
Gigiri,Westlands,None,4,,"KSh 550,000
 / month",House,Rent
Kitisuru,Westlands,None,5,None,"KSh 500,000
 / month",House,Rent
Karen,Karen,None,2,2,"KSh 120,000
 / month",House,Rent
Rosslyn,Westlands,None,5,6,"KSh 495,900
 / month",House,Rent
Hardy,Karen,None,7,8,"KSh 400,000
 / month",House,Rent
Lavington,Lavington,None,4,5,"KSh 300,000
 / month",House,Rent
Shanzu,Shanzu,None,4,4,"KSh 200,000
 / month",House,Rent
Lavington,Lavington,None,5,5,"KSh 420,000
 / month",House,Rent
Kitisuru,Westlands,None,5,5,"KSh 350,000
 / month",House,Rent
Rosslyn,Westlands,None,1,1,"KSh 120,000
 / month",House,Rent
1,"Runda, Westlands",None,4,4,"KSh 230,000
 / month",House,Rent
Off Langata rd,Karen,550 m²,5,5,"KSh 460,000
 / month",House,Rent
1,"kitisuru, Kitisuru, Westlands",None,6,6,"KSh 500,000
 / month",House,Rent
Lower Kabete,Westlands,None,4,5,"KSh 532,000
 / month",House,Rent
1,"kiambu road, Kiambu Road",None,4,4,"KSh 165,000
 / month",House,Rent
Ridgeways,Ridgeways,None,3,3,"KSh 580,000
 / month",House,Rent
1,"kiambu road, Kiambu Road",None,4,4,"KSh 230,000
 / month",House,Rent
Kitisuru,Westlands,480 m²,4,4,Price not communicated,House,Rent
Runda,Westlands,None,3,3,"KSh 320,000
 / month",House,Rent
1,"kitisuru, Kitisuru, Westlands",None,6,6,"KSh 500,000
 / month",House,Rent
Runda,Westlands,None,4,4,"KSh 420,000
 / month",House,Rent
Rosslyn,Westlands,None,5,6,"KSh 600,000
 / month",House,Rent
Kitisuru,Westlands,None,4,4,"KSh 517,002
 / month",House,Rent
Karen,Karen,None,1,1,"KSh 75,000
 / month",House,Rent
Runda,Westlands,None,2,2,"KSh 130,000
 / month",House,Rent
1,"kiambu road, Runda, Westlands",None,4,4,"KSh 230,000
 / month",House,Rent
Runda,Westlands,None,5,5,"KSh 350,000
 / month",House,Rent
Ridgeways,Ridgeways,None,5,5,"KSh 330,000
 / month",House,Rent
Runda,Westlands,None,5,5,"KSh 350,000
 / month",House,Rent
Kiambu Road,Kiambu Road,None,4,4,"KSh 235,000
 / month",House,Rent
Ongata Rongai,Ongata Rongai,None,4,3,"KSh 100,000
 / month",House,Rent
Runda,Westlands,None,4,5,"KSh 300,000
 / month",House,Rent
Kitisuru,Westlands,None,5,5,"KSh 375,000
 / month",House,Rent
Lavington,Lavington,None,4,4,"KSh 380,000
 / month",House,Rent
Kyuna,Westlands,None,1,1,"KSh 119,000
 / month",House,Rent
Westlands Area,Westlands,None,4,5,"KSh 350,000
 / month",House,Rent
Gigiri,Westlands,None,4,4,"KSh 580,000
 / month",House,Rent
Rosslyn,Westlands,None,5,5,"KSh 400,000
 / month",House,Rent
Kiambu Road,Kiambu Road,None,4,3,"KSh 100,000
 / month",House,Rent
Riverside,Westlands,None,3,4,None,House,Rent
Karen,Karen,None,4,4,"KSh 280,000
 / month",House,Rent
67,"Kileleshwa Road, Kileleshwa",None,4,4,"KSh 150,000
 / month",House,Rent
Mt kenya road,"Nyali, Nyali Area",None,4,5,"KSh 180,000
 / month",House,Rent
Kiambu Road,Kiambu Road,None,6,6,"KSh 180,000
 / month",House,Rent
1,"kitisuru, Kitisuru, Westlands",None,6,6,"KSh 500,000
 / month",House,Rent
Kitisuru,Westlands,1 m²,6,6,"KSh 1,000,000
 / month",House,Rent
Maziwa,"Lavington Green, Lavington",None,3,2,"KSh 250,000
 / month",House,Rent
Kilimani,Kilimani,None,2,2,"KSh 110,000
 / month",House,Rent
Old muthaiga Nairobi,Muthaiga,None,4,5,"KSh 4,500
 / month",House,Rent
Spring Valley,Westlands,None,2,2,"KSh 260,000
 / month",House,Rent
Spring Valley,Westlands,None,4,4,"KSh 380,000
 / month",House,Rent
Spring Valley,Westlands,None,5,5,"KSh 330,000
 / month",House,Rent
Spring Valley,Westlands,None,4,4,"KSh 350,000
 / month",House,Rent
456,"Mandera Road, Kileleshwa",None,5,5,"KSh 200,000
 / month",House,Rent
Utange,Bamburi,None,4,4,"KSh 65,000
 / month",House,Rent
60q,"Convent drive, Lavington",None,4,4,"KSh 300,000
 / month",House,Rent
Riara,"Lavington Green, Lavington",None,5,3,"KSh 200,000
 / month",House,Rent
Maziwa,"Lavington Green, Lavington",None,3,2,"KSh 115,000
 / month",House,Rent
Maziwa,"Lavington Green, Lavington",None,5,5,"KSh 400,000
 / month",House,Rent
Maziwa,"Lavington Green, Lavington",None,5,5,"KSh 380,000
 / month",House,Rent
Kilimani,Kilimani,300 m²,4,3,"KSh 220,000
 / month",House,Rent
Garden Estate,Roysambu,300 m²,5,5,"KSh 165,000
 / month",House,Rent
Runda,Westlands,None,5,,"KSh 450,000
 / month",House,Rent
Runda Nairobi,"Runda, Westlands",None,5,5,"KSh 350,000
 / month",House,Rent
Nyari central Nairobi,"Nyari, Westlands",None,6,7,"KSh 5,000
 / month",House,Rent
Rosslyn,Westlands,None,4,4,"KSh 350,000
 / month",House,Rent
Runda,Westlands,None,4,4,"KSh 400,000
 / month",House,Rent
Kitisuru,Westlands,None,3,3,"KSh 450,000
 / month",House,Rent
Kitisuru,Westlands,None,6,6,"KSh 500,000
 / month",House,Rent
Runda,Westlands,None,6,6,"KSh 500,000
 / month",House,Rent
Runda,Westlands,None,5,5,"KSh 500,000
 / month",House,Rent
Runda,Westlands,None,4,5,"KSh 450,000
 / month",House,Rent
Kiambu Road,Kiambu Road,None,4,4,"KSh 250,000
 / month",House,Rent
Gigiri,Westlands,None,3,3,"KSh 450,000
 / month",House,Rent
Runda,Westlands,None,5,5,"KSh 350,000
 / month",House,Rent
67,"Redhil Road, Nyari, Westlands",None,5,6,"KSh 600,000
 / month",House,Rent
Runda,Westlands,None,4,4,"KSh 350,000
 / month",House,Rent
Runda,Westlands,None,5,5,"KSh 500,000
 / month",House,Rent
0710J,"Kileleshwa Estate, Kileleshwa",None,4,4,"KSh 150,000
 / month",House,Rent
Lavington,Lavington,400 m²,5,6,"KSh 430,000
 / month",House,Rent
Runda,Westlands,None,4,4,"KSh 450,000
 / month",House,Rent
Ridgeways,Ridgeways,None,3,3,"KSh 380,000
 / month",House,Rent
Runda,Westlands,None,5,5,"KSh 400,000
 / month",House,Rent
Runda,Westlands,None,4,4,"KSh 450,000
 / month",House,Rent
Muthaiga,Muthaiga,None,3,3,"KSh 450,000
 / month",House,Rent
Muthaiga,Muthaiga,None,2,2,"KSh 365,000
 / month",House,Rent
Muthaiga,Muthaiga,None,1,1,"KSh 195,000
 / month",House,Rent
Lavington,Lavington,None,5,5,"KSh 450,000
 / month",House,Rent
Lavington,Lavington,None,5,5,"KSh 420,000
 / month",House,Rent
Lavington,Lavington,None,4,4,"KSh 250,000
 / month",House,Rent
151,"Tala rd, Runda, Westlands",None,4,5,"KSh 500,000
 / month",House,Rent
Ngong Road,Ngong Road,None,4,5,"KSh 150,000
 / month",House,Rent
O,Karen,None,4,4,"KSh 400,000
 / month",House,Rent
Runda,Westlands,None,5,,"KSh 470,000
 / month",House,Rent
Four-ways JUnction Kiambu Road,Kiambu Road,None,4,,"KSh 170,000
 / month",House,Rent
Kiambu Road,Kiambu Road,None,5,5,"KSh 320,000
 / month",House,Rent
O,Karen,None,5,5,"KSh 350,000
 / month",House,Rent
O,Karen,None,4,4,"KSh 380,000
 / month",House,Rent
Runda,Westlands,None,4,4,"KSh 350,000
 / month",House,Rent
Ndege road,Karen,None,6,6,"KSh 500,000
 / month",House,Rent
Lavington,Lavington,None,5,5,"KSh 400,000
 / month",House,Rent
O,Karen,None,7,7,"KSh 850,000
 / month",House,Rent
Lenana,Kileleshwa,None,5,5,"KSh 350,000
 / month",House,Rent
Karen,Karen,None,5,5,"KSh 350,000
 / month",House,Rent
O,Karen,None,5,5,"KSh 350,000
 / month",House,Rent
Karen,Karen,None,4,4,"KSh 380,000
 / month",House,Rent
O,Karen,None,7,7,"KSh 500,000
 / month",House,Rent
Kitisuru,Westlands,None,6,,"KSh 500,000
 / month",House,Rent
Lenana,Kileleshwa,None,5,5,"KSh 350,000
 / month",House,Rent
Ndege road,Karen,None,7,7,"KSh 600,000
 / month",House,Rent
Gigiri,Westlands,None,4,4,"KSh 250,000
 / month",House,Rent
Ridgeways,Ridgeways,None,5,5,"KSh 350,000
 / month",House,Rent
90,"Ridgeways Road, Ridgeways",None,6,5,"KSh 330,000
 / month",House,Rent
Gigiri,Westlands,None,3,3,"KSh 210,000
 / month",House,Rent
89,"Garden Estate, Roysambu",None,3,3,"KSh 150,000
 / month",House,Rent
Runda,Westlands,None,6,6,"KSh 450,000
 / month",House,Rent
Gigiri,Westlands,None,3,3,"KSh 420,000
 / month",House,Rent
Gigiri,Westlands,None,5,5,"KSh 350,000
 / month",House,Rent
Gigiri,Westlands,None,4,4,"KSh 400,000
 / month",House,Rent
Two Rivers,"Rosslyn, Westlands",None,4,4,"KSh 300,000
 / month",House,Rent
merisho,Ongata Rongai,None,4,4,"KSh 100,000
 / month",House,Rent
Two Rivers,"Rosslyn, Westlands",None,4,4,"KSh 300,000
 / month",House,Rent
Spring valley,"Spring Valley, Westlands",None,5,5,"KSh 715,000
 / month",House,Rent
Nyari central Nairobi,"Nyari, Westlands",None,5,6,"KSh 600,000
 / month",House,Rent
Muthaiga,Muthaiga,None,4,4,"KSh 450,000
 / month",House,Rent
Muthaiga North,Muthaiga,None,4,4,"KSh 180,000
 / month",House,Rent
Lavington,Lavington,None,5,,"KSh 400,000
 / month",House,Rent
Lavington,Lavington,None,4,3,"KSh 300,000
 / month",House,Rent
Nyari,Westlands,None,6,6,"KSh 650,000
 / month",House,Rent
Lavington,Lavington,None,4,4,"KSh 300,000
 / month",House,Rent
Nyali Mombasa,"Nyali Area, Nyali",None,4,3,"KSh 100,000
 / month",House,Rent
Kitisuru,Westlands,None,6,6,"KSh 500,000
 / month",House,Rent
Nyari,Westlands,None,6,7,"KSh 600,000
 / month",House,Rent
1,Redhill,None,4,4,"KSh 110,000
 / month",House,Rent
1,"kiambu road, Kiambu Road",None,4,4,"KSh 230,000
 / month",House,Rent
Runda,Westlands,None,5,5,"KSh 500,000
 / month",House,Rent
Nyari,Westlands,None,5,5,"KSh 700,000
 / month",House,Rent
Kitisuru,Westlands,None,4,4,"KSh 420,000
 / month",House,Rent
Kitisuru,Westlands,None,6,7,"KSh 450,000
 / month",House,Rent
Runda,Westlands,None,4,4,"KSh 350,000
 / month",House,Rent
Road,"Githogoro, Runda, Westlands",None,6,6,"KSh 330,000
 / month",House,Rent
Karen,Karen,None,2,2,"KSh 70,000
 / month",House,Rent
Mimosa,"Runda, Westlands",None,2,2,"KSh 250,000
 / month",House,Rent
Miotoni,"Karen hub, Karen",None,4,4,"KSh 380,000
 / month",House,Rent
Lavington,Lavington,None,5,5,"KSh 450,000
 / month",House,Rent
Tigoni,Limuru,None,2,2,"KSh 200,000
 / month",House,Rent
Lavington,Lavington,None,5,5,"KSh 270,000
 / month",House,Rent
Thome,Roysambu,None,5,5,"KSh 170,000
 / month",House,Rent
9,"Natasha avenue, Runda, Westlands",None,2,2,"KSh 150,000
 / month",House,Rent
84,"Ruaka drive, Runda, Westlands",None,2,2,"KSh 100,000
 / month",House,Rent
945,"Mimosa Road, Runda, Westlands",None,3,3,"KSh 150,000
 / month",House,Rent
Runda,Westlands,2023 m²,4,4,"KSh 350,000
 / month",House,Rent
Nyali,"Nyali Mombasa, Nyali Area",4000 ft²,4,5,"KSh 180,000
 / month",House,Rent
Nyali,Nyali Area,3000 ft²,4,5,"KSh 130,000
 / month",House,Rent
Lavington,Lavington,None,3,3,"KSh 120,000
 / month",House,Rent
Lavington,Lavington,None,5,5,"KSh 250,000
 / month",House,Rent
Karen,Karen,None,3,3,"KSh 120,000
 / month",House,Rent
Runda,Westlands,None,7,7,"KSh 850,000
 / month",House,Rent
Runda,Westlands,None,5,5,"KSh 500,000
 / month",House,Rent
Lavington,Lavington,None,5,5,"KSh 290,000
 / month",House,Rent
Lavington,Lavington,None,5,5,"KSh 400,000
 / month",House,Rent
Karen,Karen,None,5,,"KSh 350,000
 / month",House,Rent
Runda,Westlands,None,5,4,"KSh 340,000
 / month",House,Rent
Runda,Westlands,None,5,4,"KSh 340,000
 / month",House,Rent
Lavington,Lavington,None,5,5,"KSh 300,000
 / month",House,Rent
Kiserian,Kiserian,155 m²,3,3,"KSh 35,000
 / month",House,Rent
Lavington,Lavington,None,5,5,"KSh 400,000
 / month",House,Rent
Runda,Westlands,None,5,5,"KSh 500,000
 / month",House,Rent
Thigiri,Westlands,None,4,4,"KSh 500,000
 / month",House,Rent
Tate close,"Kitisuru, Westlands",None,5,5,"KSh 400,000
 / month",House,Rent
Brookside,Westlands,None,4,4,"KSh 160,000
 / month",House,Rent
Karen,Karen,None,6,6,"KSh 400,000
 / month",House,Rent
Kiambu Road,Kiambu Road,400 m²,4,5,"KSh 250,000
 / month",House,Rent
Lavington,Lavington,None,3,2,"KSh 120,000
 / month",House,Rent
Lavington,Lavington,None,3,2,"KSh 120,000
 / month",House,Rent
Lavington,Lavington,None,5,4,"KSh 240,000
 / month",House,Rent
Lavington,Lavington,None,5,4,"KSh 240,000
 / month",House,Rent
Lavington,Lavington,None,3,3,"KSh 250,000
 / month",House,Rent
Lavington,Lavington,None,5,4,"KSh 240,000
 / month",House,Rent
Lavington,Lavington,None,5,5,"KSh 450,000
 / month",House,Rent
Off Limuru Rd,Muthaiga,137 m²,2,2,"KSh 235,000
 / month",House,Rent
Karen,Karen,None,5,4,"KSh 350,000
 / month",House,Rent
1,"spring valley, Spring Valley, Westlands",None,5,5,"KSh 430,000
 / month",House,Rent
Runda,Westlands,None,4,4,"KSh 350,000
 / month",House,Rent
Westlands Area,Westlands,None,4,,"KSh 240,000
 / month",House,Rent
Lavington,Lavington,None,5,,"KSh 350,000
 / month",House,Rent
1,"kitisuru, Kitisuru, Westlands",None,5,5,"KSh 380,000
 / month",House,Rent
1,"gigiri, Gigiri, Westlands",None,5,5,"KSh 400,000
 / month",House,Rent
Runda,Westlands,None,2,2,"KSh 270,000
 / month",House,Rent
Lavington,Lavington,300 m²,5,6,"KSh 450,000
 / month",House,Rent
1,"lavington, Lavington",None,5,5,"KSh 400,000
 / month",House,Rent
Runda,Westlands,None,5,5,"KSh 420,000
 / month",House,Rent
Runda,Westlands,None,4,4,"KSh 447,000
 / month",House,Rent
Runda,Westlands,None,4,4,"KSh 350,000
 / month",House,Rent
Runda,Westlands,None,4,4,"KSh 445,000
 / month",House,Rent
Runda,Westlands,None,2,2,"KSh 330,000
 / month",House,Rent
889,"Natasha avenue, Runda, Westlands",None,3,4,"KSh 260,000
 / month",House,Rent
2,"Off Ruaka Rd, Runda, Westlands",None,4,5,"KSh 300,000
 / month",House,Rent
1,"Rosslyn lone tree estate rd, Rosslyn, Westlands",None,5,6,"KSh 4,300
 / month",House,Rent
Lavington,Lavington,None,6,4,"KSh 450,000
 / month",House,Rent
Karen,Karen,None,4,5,"KSh 350,000
 / month",House,Rent
Runda,Westlands,None,4,4,"KSh 450,000
 / month",House,Rent
Spring valley,"Spring Valley, Westlands",None,5,5,"KSh 320,000
 / month",House,Rent
Karen,Karen,None,2,2,"KSh 170,000
 / month",House,Rent
Runda,Westlands,None,5,4,"KSh 350,000
 / month",House,Rent
101,"lavington, Lavington",None,5,6,"KSh 450,000
 / month",House,Rent
Garden Estate,Roysambu,None,3,3,"KSh 180,000
 / month",House,Rent
Runda,Westlands,None,4,,"KSh 450,000
 / month",House,Rent
Runda,Westlands,None,3,2,"KSh 250,000
 / month",House,Rent
Runda,Westlands,None,4,4,"KSh 300,000
 / month",House,Rent
Kitisuru,"Old, Westlands",None,4,4,"KSh 450,000
 / month",House,Rent
Kyuna,Westlands,None,4,3,"KSh 400,000
 / month",House,Rent
Runda,Westlands,None,5,5,"KSh 340,000
 / month",House,Rent
Runda,Westlands,None,5,5,"KSh 500,000
 / month",House,Rent
NA,Lavington,None,3,2,"KSh 120,000
 / month",House,Rent
Kyuna,Westlands,None,4,4,"KSh 350,000
 / month",House,Rent
Spring Valley,Westlands,None,4,4,"KSh 250,000
 / month",House,Rent
Lavington,Lavington,None,5,5,"KSh 600,000
 / month",House,Rent
Runda,Westlands,None,5,6,"KSh 390,000
 / month",House,Rent
Gigiri,Westlands,None,3,3,"KSh 460,000
 / month",House,Rent
Runda,Westlands,None,4,5,"KSh 450,000
 / month",House,Rent
Muthangari drive,Lavington,None,4,4,"KSh 270,000
 / month",House,Rent
Karen,Karen,500 m²,5,5,"KSh 350,000
 / month",House,Rent
Hillcrest road,Karen,None,7,7,"KSh 850,000
 / month",House,Rent
O,"miotoni road, Karen",None,5,5,"KSh 450,000
 / month",House,Rent
Lavington,Lavington,None,4,4,"KSh 300,000
 / month",House,Rent
Lavington Nairobi,Lavington,None,5,6,"KSh 450,000
 / month",House,Rent
Runda Nairobi,"Runda, Westlands",None,4,5,"KSh 3,000
 / month",House,Rent
Nyari central Nairobi,"Nyari, Westlands",None,5,6,"KSh 460,000
 / month",House,Rent
Runda Nairobi,"Runda, Westlands",None,5,6,"KSh 500,000
 / month",House,Rent
Lavington,Lavington,None,4,4,"KSh 450,000
 / month",House,Rent
O,Lavington,None,5,5,"KSh 650,000
 / month",House,Rent
South B,South B,None,4,1,"KSh 100,000
 / month",House,Rent
Karen,Karen,None,4,4,"KSh 350,000
 / month",House,Rent
Karen,Karen,None,5,5,"KSh 350,000
 / month",House,Rent
Kisembe,Karen,None,5,5,"KSh 350,000
 / month",House,Rent
Kisembe,Karen,None,5,5,"KSh 350,000
 / month",House,Rent
Runda,Westlands,None,5,6,"KSh 450,000
 / month",House,Rent
Syokimau,Syokimau,None,4,2,"KSh 50,000
 / month",House,Rent
Lavington,Lavington,None,4,2,"KSh 350,000
 / month",House,Rent
Lavington,Lavington,None,3,3,"KSh 300,000
 / month",House,Rent
Runda,Westlands,None,5,6,"KSh 500,000
 / month",House,Rent
Runda Nairobi,"Runda, Westlands",None,4,5,"KSh 450,000
 / month",House,Rent
Runda Nairobi,"Runda, Westlands",None,5,5,"KSh 350,000
 / month",House,Rent
Riverside,Westlands,None,4,,"KSh 190,000
 / month",House,Rent
Off peponi road,"Kitisuru, Westlands",None,4,5,"KSh 700,000
 / month",House,Rent
Runda,Westlands,None,4,5,"KSh 450,000
 / month",House,Rent
Runda,Westlands,None,5,6,"KSh 350,000
 / month",House,Rent
Nyari,Westlands,None,6,7,"KSh 460,000
 / month",House,Rent
Nyari,Westlands,None,6,6,"KSh 642,000
 / month",House,Rent
Karen Hardy,Karen Hardy,None,5,6,"KSh 300,000
 / month",House,Rent
1,"Kiambu road, Runda, Westlands",None,4,4,"KSh 230,000
 / month",House,Rent
Lavington,Lavington,None,4,4,"KSh 400,000
 / month",House,Rent
Lavington,Lavington,None,5,5,"KSh 400,000
 / month",House,Rent
Matundu Lane near sabis,Kiambu Road,None,3,3,"KSh 185,000
 / month",House,Rent
903,"zagoretti, Runda, Westlands",None,2,3,"KSh 85,000
 / month",House,Rent
Karen,Karen,None,4,4,"KSh 350,000
 / month",House,Rent
Runda,Westlands,2023 m²,3,3,"KSh 250,000
 / month",House,Rent
Runda,Westlands,2023 m²,6,6,"KSh 280,000
 / month",House,Rent
Old Kitisuru road,"Kitisuru, Westlands",600 m²,5,5,"KSh 500,000
 / month",House,Rent
Runda,Westlands,None,6,7,"KSh 850,000
 / month",House,Rent
Lavington,Lavington,None,6,6,"KSh 600,000
 / month",House,Rent
Kitisuru,Westlands,None,6,6,"KSh 500,000
 / month",House,Rent
Runda,Westlands,None,4,4,"KSh 350,000
 / month",House,Rent
Karen,Karen,2026 m²,2,2,"KSh 80,000
 / month",House,Rent
Kiambu Road,Kiambu Road,300 m²,4,5,"KSh 215,000
 / month",House,Rent
Ridgeways,Ridgeways,None,5,6,"KSh 350,000
 / month",House,Rent
Spring Valley,Westlands,None,4,4,"KSh 380,000
 / month",House,Rent
Spring Valley,Westlands,None,2,2,"KSh 260,000
 / month",House,Rent
Spring Valley,Westlands,None,5,5,"KSh 350,000
 / month",House,Rent
Hardy,Karen,None,10,10,"KSh 500,000
 / month",House,Rent
Karen,Karen,None,5,5,"KSh 350,000
 / month",House,Rent
Spring Valley,Westlands,None,5,5,"KSh 300,000
 / month",House,Rent
Nyari,Westlands,5000 ft²,4,4,"KSh 520,000
 / month",House,Rent
Spring Valley,Westlands,None,4,4,"KSh 400,000
 / month",House,Rent
Lavington,Lavington,200 m²,3,3,"KSh 250,000
 / month",House,Rent
Lavington,Lavington,3897 m²,4,3,"KSh 300,000
 / month",House,Rent
Lavington,Lavington,None,5,4,"KSh 200,000
 / month",House,Rent
Kileleshwa,Kileleshwa,None,4,4,"KSh 200,000
 / month",House,Rent
Kilimani,Kilimani,None,3,3,"KSh 120,000
 / month",House,Rent
Lavington,Lavington,None,4,4,"KSh 450,000
 / month",House,Rent
Runda,Westlands,4046 m²,5,5,"KSh 850,000
 / month",House,Rent
Runda,Westlands,4046 m²,5,5,"KSh 500,000
 / month",House,Rent
Runda,Westlands,2023 m²,4,4,"KSh 500,000
 / month",House,Rent
Runda,Westlands,None,5,5,"KSh 350,000
 / month",House,Rent
Spring Valley,Westlands,None,5,5,"KSh 320,000
 / month",House,Rent
Runda,Westlands,None,4,4,"KSh 350,000
 / month",House,Rent
Runda,Westlands,None,5,5,"KSh 380,000
 / month",House,Rent
Runda,Westlands,None,5,5,"KSh 500,000
 / month",House,Rent
Kiambu Road,Kiambu Road,None,3,3,"KSh 200,000
 / month",House,Rent
Kiambu Road,Kiambu Road,None,4,4,"KSh 250,000
 / month",House,Rent
Kiambu Road,Kiambu Road,None,4,4,"KSh 350,000
 / month",House,Rent
Kiambu Road,Kiambu Road,None,4,4,"KSh 140,000
 / month",House,Rent
Kiambu Road,Kiambu Road,None,4,4,"KSh 280,000
 / month",House,Rent
Kiambu Road,Kiambu Road,None,3,3,"KSh 200,000
 / month",House,Rent
Kiambu Road,Kiambu Road,None,4,4,"KSh 200,000
 / month",House,Rent
Kiambu Road,Kiambu Road,None,4,4,"KSh 300,000
 / month",House,Rent
Kiambu Road,Kiambu Road,None,4,4,"KSh 200,000
 / month",House,Rent
Runda,Westlands,None,5,5,"KSh 500,000
 / month",House,Rent
Kitisuru,Westlands,None,6,6,"KSh 1,400,000
 / month",House,Rent
Kileleshwa,Kileleshwa,None,4,4,"KSh 200,000
 / month",House,Rent
Ridgeways,Ridgeways,None,5,5,"KSh 350,000
 / month",House,Rent
Kiambu Road,Kiambu Road,None,4,4,"KSh 230,000
 / month",House,Rent
Lower Kabete,Westlands,None,5,5,"KSh 650,000
 / month",House,Rent
Spring Valley,Westlands,None,5,6,"KSh 1,041,120
 / month",House,Rent
Nyari,Westlands,None,5,5,"KSh 585,000
 / month",House,Rent
Rosslyn,Westlands,None,5,5,"KSh 520,000
 / month",House,Rent
Kiambu Road,Kiambu Road,None,4,3,"KSh 130,000
 / month",House,Rent
Lavington,Lavington,None,5,5,"KSh 280,000
 / month",House,Rent
Karen,Karen,None,5,5,"KSh 350,000
 / month",House,Rent
Kiambu road,Kiambu Road,None,5,5,"KSh 320,000
 / month",House,Rent
Riverside drive Nairobi,"Riverside, Westlands",None,5,6,"KSh 300,000
 / month",House,Rent
1,"kiambu road, Runda, Westlands",None,4,4,"KSh 230,000
 / month",House,Rent
Karen,Karen,700 m²,6,6,"KSh 500,000
 / month",House,Rent
Lavington,Lavington,None,4,4,"KSh 270,000
 / month",House,Rent
Lavington,Lavington,None,5,5,"KSh 350,000
 / month",House,Rent
Lavington,Lavington,None,5,5,"KSh 400,000
 / month",House,Rent
Lavington,Lavington,None,4,3,"KSh 300,000
 / month",House,Rent
Lavington,Lavington,None,5,5,"KSh 450,000
 / month",House,Rent
Lavington,Lavington,None,5,5,"KSh 450,000
 / month",House,Rent
Miotoni,Karen,400 m²,3,4,"KSh 330,000
 / month",House,Rent
Lavington,Lavington,397 m²,5,6,"KSh 450,000
 / month",House,Rent
Riverside,Westlands,399 m²,5,5,"KSh 275,000
 / month",House,Rent
Karen,Karen,None,5,3,"KSh 200,000
 / month",House,Rent
Runda,Westlands,None,4,4,"KSh 450,000
 / month",House,Rent
Kileleshwa,Kileleshwa,None,4,4,"KSh 260,000
 / month",House,Rent
Kitisuru Country Homes,"Kitisuru, Westlands",None,4,5,"KSh 3,000
 / month",House,Rent
Runda Drive,"Runda, Westlands",2024 m²,5,5,"KSh 350,000
 / month",House,Rent
Runda,Westlands,None,4,4,"KSh 450,000
 / month",House,Rent
Nyari,Westlands,None,4,4,"KSh 320,000
 / month",House,Rent
Runda,Westlands,None,6,6,"KSh 450,000
 / month",House,Rent
Lavington,Lavington,None,3,3,"KSh 250,000
 / month",House,Rent
Kitisuru,Westlands,None,4,4,"KSh 390,000
 / month",House,Rent
Spring Valley,Westlands,None,5,5,"KSh 450,000
 / month",House,Rent
Karen,Karen,None,5,6,"KSh 350,000
 / month",House,Rent
Lavington,Lavington,None,4,4,"KSh 260,000
 / month",House,Rent
Runda,Westlands,None,6,6,"KSh 500,000
 / month",House,Rent
Mimosa rd,"Runda, Westlands",500 m²,6,6,"KSh 450,000
 / month",House,Rent
Gikambura,Kikuyu,None,4,4,"KSh 70,000
 / month",House,Rent
