Location,Other Location Details,Size,Bedrooms,Bathrooms,Price,Property Type,Purchase Type
0716j,"Parklands Estate, Parklands, Westlands",1199 ft²,2,2,"KSh 13,000,000",House,Sale
Lavington shopping centre,Lavington,None,4,4,"KSh 75,000,000",House,Sale
Lavington,Lavington,None,5,5,"KSh 78,000,000",House,Sale
Loresho,"Westlands Area, Westlands",None,5,5,"KSh 150,000,000",House,Sale
Kiambu Road,Kiambu Road,None,4,5,"KSh 32,500,000",House,Sale
Athi River,Athi River,None,4,4,"KSh 17,000,000",House,Sale
Kiambu Road,Kiambu Road,None,5,5,"KSh 35,000,000",House,Sale
ruiru,"Kamakis, Ruiru",None,3,4,"KSh 9,500,000",House,Sale
Sunset estate,"Juja South, Juja",None,4,5,"KSh 22,000,000",House,Sale
Lavington shopping centre,Lavington,None,4,4,"KSh 75,000,000",House,Sale
ruiru,"Kamakis, Ruiru",None,6,6,"KSh 18,000,000",House,Sale
Nyali Area,Nyali,None,4,5,"KSh 34,000,000",House,Sale
Lavington,Lavington,None,5,5,"KSh 55,000,000",House,Sale
Kiserian,Kiserian,450 m²,3,3,"KSh 7,500,000",House,Sale
Lavington,Lavington,480 m²,5,6,"KSh 90,000,000",House,Sale
Spring Valley,Westlands,None,4,5,"KSh 87,000,000",House,Sale
Kiambu Road,Kiambu Road,None,4,3,"KSh 32,000,000",House,Sale
Westlands Area,Westlands,None,3,3,"KSh 50,000,000",House,Sale
Athi River,Athi River,None,4,4,"KSh 17,000,000",House,Sale
Karen,Karen,None,5,6,"KSh 80,000,000",House,Sale
Karen,Karen,None,6,7,"KSh 95,000,000",House,Sale
Lavington,Lavington,None,5,7,"KSh 60,000,000",House,Sale
Nyali Area,Nyali,None,5,5,"KSh 118,000,000",House,Sale
Watamu,Watamu,None,4,2,"KSh 26,000,000",House,Sale
Runda,Westlands,None,2,2,"KSh 63,000,000",House,Sale
Kiambu Road,Kiambu Road,None,4,4,"KSh 32,500,000",House,Sale
Kitisuru,Westlands,None,5,5,"KSh 120,000,000",House,Sale
Loresho Crescent,"Loresho, Westlands",None,5,5,"KSh 150,000,000",House,Sale
Karen,Karen,None,5,5,"KSh 84,000,000",House,Sale
Lavington,Lavington,None,5,6,"KSh 85,000,000",House,Sale
Mtwapa,Mtwapa,None,3,3,"KSh 8,500,000",House,Sale
Kitengela,Kitengela,4000 ft²,3,3,"KSh 6,300,000",House,Sale
Kamangu,Kamangu,5000 ft²,4,5,"KSh 21,000,000",House,Sale
Ruiru,Ruiru,3200 ft²,3,4,"KSh 9,700,000",House,Sale
Thika Road,Thika Road,None,4,4,"KSh 38,000,000",House,Sale
Westlands Area,Westlands,None,5,5,"KSh 56,000,000",House,Sale
Kirawa road,"Kitisuru, Westlands",None,4,5,"KSh 45,000,000",House,Sale
Kiambu Road,Kiambu Road,None,4,4,"KSh 33,000,000",House,Sale
Rhapta Road,Westlands,None,5,5,"KSh 31,000,000",House,Sale
Karen,Karen,None,5,6,"KSh 150,000,000",House,Sale
Mtwapa,Mtwapa,None,3,4,"KSh 54,000,000",House,Sale
Watamu,Watamu,None,3,3,"KSh 60,000,000",House,Sale
Watamu,Watamu,None,3,3,"KSh 105,666,000",House,Sale
Watamu,Watamu,None,5,5,"KSh 420,000,000",House,Sale
Westlands Area,Westlands,None,6,4,"KSh 55,000,000",House,Sale
Watamu,Watamu,None,8,8,"KSh 73,000,000",House,Sale
502,"Kiambu road, Kiambu Road",None,4,5,"KSh 25,000,000",House,Sale
Rosslyn,Westlands,None,5,6,"KSh 100,000,000",House,Sale
Lavington,Lavington,None,5,5,"KSh 55,000,000",House,Sale
Acacia,Kitengela,5000 ft²,3,3,"KSh 6,500,000",House,Sale
Kaputei Gardens,"Lavington Green, Lavington",None,4,4,"KSh 62,000,000",House,Sale
Syokimau,Syokimau,None,4,4,"KSh 18,000,000",House,Sale
Kirawa Rd,"Kitisuru, Westlands",305 m²,4,5,"KSh 28,000,000",House,Sale
Ruiru,Ruiru,None,4,4,"KSh 15,000,000",House,Sale
Watamu,Watamu,None,6,6,"KSh 50,000,000",House,Sale
Malindi,Malindi,None,4,4,"KSh 55,000,000",House,Sale
Nakuru,Nakuru,None,3,3,"KSh 5,790,000",House,Sale
Malindi,Malindi,None,3,3,"KSh 38,000,000",House,Sale
Watamu,Watamu,None,2,2,"KSh 16,500,000",House,Sale
Watamu,Watamu,None,6,6,"KSh 100,000,000",House,Sale
Riverside,Westlands,None,5,4,"KSh 47,000,000",House,Sale
